3	3	45	2	1	13	5	6	0	1	0	3	4	0	1
4	2	73	4	1	16	4	3	0	0	0	2	3	0	0
2	3	53	3	2	3	6	7	1	0	0	4	3	0	0
1	4	45	2	1	14	7	8	1	1	1	4	4	0	1
3	2	55	3	2	12	3	5	0	1	0	4	2	0	0
1	3	85	2	2	3	3	6	1	1	1	4	4	0	0
1	3	58	2	2	10	8	8	1	1	1	3	4	0	0
2	3	53	3	1	9	6	7	1	0	0	2	4	1	1
1	3	52	3	2	14	6	5	1	1	1	4	3	0	0
4	1	42	3	1	15	1	2	0	0	0	3	2	0	0
4	3	38	4	2	9	9	8	0	0	0	4	4	1	1
4	1	38	2	1	6	7	8	0	0	0	4	4	1	1
4	3	26	4	2	10	6	6	0	0	0	3	3	0	1
1	4	52	3	1	11	8	8	1	1	1	4	4	0	1
1	1	48	3	1	19	1	3	1	1	1	3	2	0	0
2	4	62	2	2	10	10	8	1	0	0	4	4	1	1
1	4	41	1	2	7	7	8	1	1	1	3	4	0	0
3	2	54	2	1	11	4	6	0	1	0	4	4	0	0
1	3	69	2	2	9	6	7	1	1	1	4	4	0	0
1	2	71	1	1	6	4	6	1	1	1	4	1	0	0
3	2	62	3	1	14	2	5	0	1	0	3	2	0	0
2	1	41	3	1	13	1	6	1	0	0	4	3	0	0
3	3	60	2	2	11	5	7	0	1	0	4	4	0	1
4	2	62	3	1	17	4	8	0	0	0	3	4	0	1
4	2	31	4	1	13	5	5	0	0	0	4	4	0	0
3	2	50	3	2	13	2	2	0	1	0	4	2	0	0
3	3	48	2	1	7	7	5	0	1	0	4	4	0	1
2	2	29	3	1	10	4	4	1	0	0	1	2	0	0
3	3	64	2	2	5	7	5	0	1	0	3	4	0	0
3	1	65	2	2	12	2	6	0	1	0	4	4	0	1
4	4	66	1	2	4	10	8	0	0	0	3	4	0	0
1	4	68	2	2	9	9	8	1	1	1	4	4	0	1
4	2	43	2	2	15	4	6	0	0	0	2	3	0	0
3	3	57	4	2	12	5	5	0	1	0	3	3	0	0
3	2	41	2	1	11	7	4	0	1	0	4	4	0	0
2	2	85	4	1	13	5	7	1	0	0	4	3	0	1
4	3	70	4	1	15	6	8	0	0	0	4	4	0	1
3	3	65	4	1	14	6	6	0	1	0	4	4	0	0
2	3	67	1	2	11	9	8	1	0	0	4	4	1	1
1	3	68	3	2	9	4	5	1	1	1	2	2	0	0
2	2	64	3	1	13	3	5	1	0	0	4	2	0	0
