0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	64	5	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	9	9	9	9	9	9	9	9	9	9	9	9	9	9	1	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	2	1	3	0	0	11	1	10	1	36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1	1	1	1	1	4	3	6	4	56	1	2	2	2	4	2	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	4	3	3	3	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	3	5	5	5	5	3	5	1	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	2	2	1	0	0	0	0	3	13	2	41	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1
0	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1	5	3	1	5	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	95	1	4	4	4	1	3	3	1	1	2	2	2	2	2	1	1	1	1	1	1	1	6	2	4	1	6	2	6	3	6	9	8	9	9	9	8	8	8	9	8	9	8	8	9	6	7	7	7	7	7	7	1	6	6	6	3	6	4	6	5	6	6	5	6	1	5	6	1	1	1	3	0	0	11	1	10	1	54	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1
1	3	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	4	1	1	5	4	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	1	1	5	1	1	96	5	4	4	4	3	1	4	1	1	2	1	2	1	2	1	1	1	2	1	1	5	6	4	5	1	5	1	6	3	6	9	9	8	9	9	6	8	7	8	9	8	8	9	9	3	6	3	5	7	5	3	1	3	5	5	3	5	5	6	4	5	2	5	5	6	4	2	1	3	1	3	0	0	9	1	10	1	58	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	4	1	1	1	4	1	1	1	5	1	1	1	1	1	1	4	1	4	1	1	1	1	5	5	5	92	2	2	3	2	2	3	2	1	1	2	2	2	1	1	2	1	1	1	1	1	1	5	6	5	1	3	2	6	1	4	8	7	7	7	7	7	8	7	8	9	7	2	8	8	5	7	6	6	5	5	7	1	4	4	4	3	4	4	4	3	4	4	6	6	4	4	5	2	3	1	1	0	1	5	1	13	2	59	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1
0	3	1	4	1	1	1	1	1	2	1	1	4	1	1	1	4	1	2	4	1	1	1	1	1	4	2	4	2	4	4	4	1	1	4	1	1	4	1	1	1	1	1	4	4	83	5	2	2	3	3	3	3	1	2	3	1	3	3	4	2	4	3	2	2	2	5	6	5	4	6	6	5	6	4	5	8	8	7	8	8	8	8	7	8	7	8	8	8	8	7	5	6	6	6	5	6	1	5	5	4	5	5	5	4	5	5	6	5	5	4	4	5	2	2	1	2	0	0	9	1	10	1	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	4	5	1	4	1	4	1	1	4	1	1	1	1	1	1	4	4	1	1	4	1	5	1	1	1	1	4	1	4	4	4	4	1	4	4	1	95	4	4	5	4	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	5	2	5	6	5	1	6	3	4	8	9	9	7	8	7	8	6	8	7	8	7	7	9	6	5	6	6	7	7	7	1	5	6	5	2	4	4	5	4	5	4	5	5	4	5	5	1	1	1	3	0	0	5	1	13	2	80	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
1	1	1	1	2	1	4	1	5	4	4	1	1	1	1	1	4	1	4	1	1	1	4	1	4	4	4	1	4	4	4	1	1	1	1	4	1	1	4	1	1	1	4	1	1	80	2	4	4	5	3	2	3	1	1	1	1	2	1	1	1	1	1	2	1	1	3	6	4	5	4	3	3	5	4	3	9	9	9	8	9	1	7	1	9	9	8	8	6	9	3	6	7	5	7	7	7	1	4	3	5	3	2	4	5	4	4	2	4	5	3	5	4	1	3	1	3	0	2	7	1	10	1	82	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1
1	4	4	4	1	1	1	1	1	1	4	4	1	1	1	1	4	4	1	1	4	4	4	4	4	1	1	1	1	4	4	4	1	1	1	4	1	1	4	4	4	4	4	4	4	86	5	4	5	4	4	4	4	1	1	2	4	1	1	2	1	1	1	1	1	1	6	5	4	4	1	5	1	6	4	5	9	8	9	8	9	1	7	9	8	8	9	9	8	8	6	7	5	6	7	6	7	1	2	6	4	4	5	5	4	4	2	4	5	6	1	4	5	1	2	1	3	0	1	9	1	10	1	84	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1
0	4	4	4	4	4	2	5	1	2	6	4	1	1	2	1	1	1	3	1	4	2	3	1	1	1	2	4	4	1	4	1	2	1	6	4	1	2	4	1	2	1	2	3	3	41	5	1	1	1	4	4	3	1	4	4	4	3	2	3	3	2	3	2	3	3	6	4	6	4	5	2	6	2	5	4	6	2	1	2	8	2	2	1	2	2	6	2	7	8	6	5	2	2	6	2	6	1	4	6	5	6	1	6	5	6	4	2	5	2	6	5	4	1	2	1	0	2	7	2	5	15	3	86	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1
